ASN,Name,RPKI,Total,%
AS6619,삼성에스디에스(주),1,9847,0.00010155377272265665
AS9689,에스케이브로드밴드주식회사,0,3669,0.0
AS9318,에스케이브로드밴드주식회사,3,2451,0.0012239902080783353
AS4766,주식회사 케이티,89,2060,0.04320388349514563
AS17849,에스케이브로드밴드주식회사,0,1364,0.0
AS10036,주식회사 딜라이브,0,785,0.0
AS9848,세종네트웍스 주식회사,0,771,0.0
AS23577,주식회사 케이티,0,757,0.0
AS38103,에스케이브로드밴드주식회사,0,648,0.0
AS17841,국가정보자원관리원,0,535,0.0
AS3786,(주)엘지유플러스,20,523,0.03824091778202677
AS17857,에스케이브로드밴드주식회사,0,501,0.0
AS17864,에스케이브로드밴드주식회사,0,499,0.0
AS45372,유엘네트웍스,0,457,0.0
AS23563,에스케이브로드밴드주식회사,0,443,0.0
AS17573,에스케이브로드밴드주식회사,0,442,0.0
AS9845,주식회사 엘지헬로비전,0,417,0.0
AS38097,에스케이브로드밴드주식회사,0,396,0.0
AS4668,(주) 엘지씨엔에스,0,394,0.0
AS38661,에이비클,128,361,0.3545706371191136
AS18310,에스케이브로드밴드주식회사,0,353,0.0
AS38095,에스케이브로드밴드주식회사,0,325,0.0
AS17597,에스케이브로드밴드주식회사,0,317,0.0
AS9770,주식회사 엘지헬로비전,0,297,0.0
AS18302,에스케이텔레콤(주),0,292,0.0
AS23584,주식회사 에이치씨엔 부산방송,0,290,0.0
AS45400,주식회사 케이티,0,283,0.0
AS1237,한국과학기술정보연구원,0,282,0.0
AS9756,에스케이브로드밴드주식회사,0,277,0.0
AS18300,한국전력공사,0,276,0.0
AS9319,주식회사 에이치씨엔 충북방송,0,261,0.0
AS23576,네이버클라우드 주식회사,0,246,0.0
AS38676,(주)플렉스넷,0,243,0.0
AS10066,주식회사 엘지헬로비전,0,206,0.0
AS10164,에스케이브로드밴드주식회사,0,204,0.0
AS17871,에스케이브로드밴드주식회사,0,203,0.0
AS38091,주식회사 엘지헬로비전,0,196,0.0
AS17854,에스케이브로드밴드주식회사,0,189,0.0
AS9952,호스트웨이아이디씨(주),0,188,0.0
AS45996,(주)다우기술,6,188,0.031914893617021274
AS38096,에스케이브로드밴드주식회사,0,176,0.0
AS18305,(주)포스코디엑스,22,165,0.13333333333333333
AS9971,에스케이브로드밴드주식회사,0,158,0.0
AS17839,주식회사 엘지헬로비전,0,156,0.0
AS9762,주식회사 에이치씨엔,0,152,0.0
AS17583,금강방송주식회사,0,148,0.0
AS9286,주식회사 케이아이엔엑스,1,147,0.006802721088435374
AS38669,주식회사 엘지헬로비전,0,137,0.0
AS7562,주식회사 에이치씨엔 동작방송,2,136,0.014705882352941176
AS9943,(주)딜라이브강남케이블티브이,0,135,0.0
AS9697,주식회사 엘지헬로비전,0,135,0.0
AS17608,주식회사 아름방송네트워크,0,134,0.0
AS9946,(주)KCTV제주방송,0,129,0.0
AS131866,디지털엣지코리아,0,126,0.0
AS38107,씨디네트웍스,1,118,0.00847457627118644
AS4961,메타넷디지털 주식회사,0,116,0.0
AS38701,피란하시스템즈,0,116,0.0
AS9957,주식회사 케이아이엔엑스,0,114,0.0
